dataset,algorithm,descriptor,augmentation,rmse,cliff_rmse
CHEMBL1862_Ki,AFP,GRAPH,0,0.834503466,0.808044369
CHEMBL1871_Ki,AFP,GRAPH,0,0.843615083,0.830310533
CHEMBL2034_Ki,AFP,GRAPH,0,0.841650359,0.970397121
CHEMBL204_Ki,AFP,GRAPH,0,1.057819636,1.164867904
CHEMBL2047_EC50,AFP,GRAPH,0,0.817885664,0.795184513
CHEMBL214_Ki,AFP,GRAPH,0,1.005214898,1.018375126
CHEMBL2147_Ki,AFP,GRAPH,0,0.932674386,0.956458709
CHEMBL218_EC50,AFP,GRAPH,0,0.936471436,0.957726069
CHEMBL219_Ki,AFP,GRAPH,0,1.046764295,1.020068782
CHEMBL228_Ki,AFP,GRAPH,0,0.899655609,0.938049805
CHEMBL231_Ki,AFP,GRAPH,0,0.873772603,0.881753594
CHEMBL233_Ki,AFP,GRAPH,0,0.987533516,0.998455657
CHEMBL234_Ki,AFP,GRAPH,0,0.823113768,0.856826502
CHEMBL235_EC50,AFP,GRAPH,0,0.918373208,1.05838375
CHEMBL236_Ki,AFP,GRAPH,0,0.980591219,1.126549425
CHEMBL237_EC50,AFP,GRAPH,0,1.20365086,1.13576622
CHEMBL237_Ki,AFP,GRAPH,0,1.169267179,1.143068623
CHEMBL238_Ki,AFP,GRAPH,0,0.86996454,0.954230119
CHEMBL239_EC50,AFP,GRAPH,0,0.974571676,1.083105011
CHEMBL244_Ki,AFP,GRAPH,0,1.016471305,1.044361707
CHEMBL262_Ki,AFP,GRAPH,0,0.896569061,0.915190031
CHEMBL264_Ki,AFP,GRAPH,0,0.735491479,0.781700073
CHEMBL2835_Ki,AFP,GRAPH,0,0.554583968,0.897036538
CHEMBL287_Ki,AFP,GRAPH,0,0.863347567,0.875497232
CHEMBL2971_Ki,AFP,GRAPH,0,0.850555523,1.104498871
CHEMBL3979_EC50,AFP,GRAPH,0,0.870452926,0.882746872
CHEMBL4005_Ki,AFP,GRAPH,0,0.797697206,0.830859762
CHEMBL4203_Ki,AFP,GRAPH,0,1.013895629,1.249099723
CHEMBL4616_EC50,AFP,GRAPH,0,0.889936462,0.833240512
CHEMBL4792_Ki,AFP,GRAPH,0,0.869976044,0.891617779
CHEMBL1862_Ki,CNN,SMILES,10,0.995876085,0.859159465
CHEMBL1871_Ki,CNN,SMILES,10,0.780533967,0.809338357
CHEMBL2034_Ki,CNN,SMILES,10,0.830194216,0.894368453
CHEMBL204_Ki,CNN,SMILES,10,1.136786533,1.160036883
CHEMBL2047_EC50,CNN,SMILES,10,0.7766154,0.743846109
CHEMBL214_Ki,CNN,SMILES,10,0.953330623,0.965606368
CHEMBL2147_Ki,CNN,SMILES,10,1.006376009,1.024781461
CHEMBL218_EC50,CNN,SMILES,10,0.932530425,0.928124868
CHEMBL219_Ki,CNN,SMILES,10,1.005950875,0.98207726
CHEMBL228_Ki,CNN,SMILES,10,0.979401139,0.976892133
CHEMBL231_Ki,CNN,SMILES,10,0.93154037,0.972193087
CHEMBL233_Ki,CNN,SMILES,10,1.064924011,1.068891424
CHEMBL234_Ki,CNN,SMILES,10,0.912888619,0.935180095
CHEMBL235_EC50,CNN,SMILES,10,0.846105114,0.911890192
CHEMBL236_Ki,CNN,SMILES,10,1.049149471,1.101444854
CHEMBL237_EC50,CNN,SMILES,10,1.146522304,1.021089449
CHEMBL237_Ki,CNN,SMILES,10,1.023297445,0.998530318
CHEMBL238_Ki,CNN,SMILES,10,0.913319767,0.890900608
CHEMBL239_EC50,CNN,SMILES,10,0.892147228,0.929915642
CHEMBL244_Ki,CNN,SMILES,10,1.160716504,1.133180419
CHEMBL262_Ki,CNN,SMILES,10,0.939656228,0.952254035
CHEMBL264_Ki,CNN,SMILES,10,0.89748038,0.912559409
CHEMBL2835_Ki,CNN,SMILES,10,0.53053002,0.948712155
CHEMBL287_Ki,CNN,SMILES,10,0.990234725,0.973059946
CHEMBL2971_Ki,CNN,SMILES,10,0.874322834,1.099590902
CHEMBL3979_EC50,CNN,SMILES,10,0.974699789,0.983992889
CHEMBL4005_Ki,CNN,SMILES,10,0.775311857,0.805110405
CHEMBL4203_Ki,CNN,SMILES,10,1.008977756,1.131768831
CHEMBL4616_EC50,CNN,SMILES,10,0.836449817,0.808819123
CHEMBL4792_Ki,CNN,SMILES,10,0.940982607,0.997843568
CHEMBL1862_Ki,GAT,GRAPH,0,0.876997055,0.730718381
CHEMBL1871_Ki,GAT,GRAPH,0,0.786828532,0.845034352
CHEMBL2034_Ki,GAT,GRAPH,0,0.838212632,0.999274906
CHEMBL204_Ki,GAT,GRAPH,0,1.166011608,1.267535957
CHEMBL2047_EC50,GAT,GRAPH,0,0.905158956,0.896663876
CHEMBL214_Ki,GAT,GRAPH,0,1.141479523,1.136323119
CHEMBL2147_Ki,GAT,GRAPH,0,1.12115091,1.048388979
CHEMBL218_EC50,GAT,GRAPH,0,0.945821232,0.970107484
CHEMBL219_Ki,GAT,GRAPH,0,1.107673645,1.139440593
CHEMBL228_Ki,GAT,GRAPH,0,1.112453326,1.035020243
CHEMBL231_Ki,GAT,GRAPH,0,1.277197942,1.19686664
CHEMBL233_Ki,GAT,GRAPH,0,1.035218127,1.041992202
CHEMBL234_Ki,GAT,GRAPH,0,0.931927518,0.968802766
CHEMBL235_EC50,GAT,GRAPH,0,1.006828251,1.092289577
CHEMBL236_Ki,GAT,GRAPH,0,1.082282785,1.215122922
CHEMBL237_EC50,GAT,GRAPH,0,1.128416565,1.09455777
CHEMBL237_Ki,GAT,GRAPH,0,1.268734835,1.248963696
CHEMBL238_Ki,GAT,GRAPH,0,0.987520539,1.022375053
CHEMBL239_EC50,GAT,GRAPH,0,1.016605165,1.108243554
CHEMBL244_Ki,GAT,GRAPH,0,1.458466102,1.335983343
CHEMBL262_Ki,GAT,GRAPH,0,0.936014629,0.96284603
CHEMBL264_Ki,GAT,GRAPH,0,0.894378704,0.915475299
CHEMBL2835_Ki,GAT,GRAPH,0,0.635363651,1.017116327
CHEMBL287_Ki,GAT,GRAPH,0,1.093512743,1.080714458
CHEMBL2971_Ki,GAT,GRAPH,0,0.900126482,1.046529714
CHEMBL3979_EC50,GAT,GRAPH,0,1.025512796,0.96321402
CHEMBL4005_Ki,GAT,GRAPH,0,0.795960486,0.852527263
CHEMBL4203_Ki,GAT,GRAPH,0,1.041475411,1.169748665
CHEMBL4616_EC50,GAT,GRAPH,0,0.920895292,0.86020541
CHEMBL4792_Ki,GAT,GRAPH,0,0.989572165,0.989672255
CHEMBL1862_Ki,GBM,ECFP,0,0.705929154,0.700904114
CHEMBL1871_Ki,GBM,ECFP,0,0.700651138,0.740495213
